--------- beginning of main
06-29 19:01:47.428  6286  6286 I zygote64: Late-enabling -Xcheck:jni
--------- beginning of system
06-29 19:01:47.565  6286  6286 I ActivityThread: handleStopService: token=android.os.BinderProxy@feb3d70 not found.
06-29 19:01:47.572  6286  6286 I TransferService: Starting Transfer Service to listen for network connectivity changes.
06-29 19:01:47.574  6286  6286 W LogFactory: Truncating log tag length as it exceed 23, the limit imposed by Android on certain API Levels
06-29 19:01:47.604  6286  6286 I TransferService: Registering the network receiver
06-29 19:01:47.610  6286  6286 I TransferService: Moving the service out of the Foreground state.
06-29 19:01:47.611  6286  6286 I TransferService: De-registering the network receiver.
06-29 19:01:52.551  6286  6300 I zygote64: Waiting for a blocking GC ProfileSaver
06-29 19:01:52.566  6286  6300 I zygote64: WaitForGcToComplete blocked ProfileSaver on HeapTrim for 15.470ms
06-29 19:01:54.072  6286  6286 I zygote64: Rejecting re-init on previously-failed class java.lang.Class<androidx.core.view.ViewCompat$2>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
06-29 19:01:54.072  6286  6286 I zygote64:   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2856)
06-29 19:01:54.072  6286  6286 I zygote64:   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
06-29 19:01:54.072  6286  6286 I zygote64:   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1589)
06-29 19:01:54.072  6286  6286 I zygote64:   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:106)
06-29 19:01:54.072  6286  6286 I zygote64:   at void android.os.Looper.loop() (Looper.java:164)
06-29 19:01:54.072  6286  6286 I zygote64:   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6494)
06-29 19:01:54.072  6286  6286 I zygote64:   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
06-29 19:01:54.072  6286  6286 I zygote64:   at void com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run() (RuntimeInit.java:438)
06-29 19:01:54.072  6286  6286 I zygote64:   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:807)
06-29 19:01:54.072  6286  6286 I zygote64: Caused by: java.lang.ClassNotFoundException: Didn't find class "android.view.View$OnUnhandledKeyEventListener" on path: DexPathList[[zip file "/data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/base.apk"],nativeLibraryDirectories=[/data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/lib/arm64, /data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/base.apk!/lib/arm64-v8a, /system/lib64, /vendor/lib64]]
06-29 19:01:54.072  6286  6286 I zygote64:   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:125)
06-29 19:01:54.072  6286  6286 I zygote64:   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
06-29 19:01:54.072  6286  6286 I zygote64:   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
06-29 19:01:54.072  6286  6286 I zygote64:   at void androidx.core.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, androidx.core.view.OnApplyWindowInsetsListener) (ViewCompat.java:2421)
06-29 19:01:54.072  6286  6286 I zygote64:   at android.view.ViewGroup androidx.appcompat.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:779)
06-29 19:01:54.072  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:659)
06-29 19:01:54.072  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:552)
06-29 19:01:54.072  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:161)
06-29 19:01:54.073  6286  6286 I zygote64:   at void com.example.edgesum.page.main.MainActivity.onCreate(android.os.Bundle) (MainActivity.java:95)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle, android.os.PersistableBundle) (Activity.java:7009)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7000)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1214)
06-29 19:01:54.073  6286  6286 I zygote64:   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2731)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2856)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1589)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:106)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.os.Looper.loop() (Looper.java:164)
06-29 19:01:54.073  6286  6286 I zygote64:   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6494)
06-29 19:01:54.073  6286  6286 I zygote64:   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
06-29 19:01:54.073  6286  6286 I zygote64:   at void com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run() (RuntimeInit.java:438)
06-29 19:01:54.073  6286  6286 I zygote64:   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:807)
06-29 19:01:54.073  6286  6286 I zygote64: 
06-29 19:01:54.074  6286  6286 I zygote64: Rejecting re-init on previously-failed class java.lang.Class<androidx.core.view.ViewCompat$2>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.core.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, androidx.core.view.OnApplyWindowInsetsListener) (ViewCompat.java:2421)
06-29 19:01:54.074  6286  6286 I zygote64:   at android.view.ViewGroup androidx.appcompat.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:779)
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:659)
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:552)
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:161)
06-29 19:01:54.074  6286  6286 I zygote64:   at void com.example.edgesum.page.main.MainActivity.onCreate(android.os.Bundle) (MainActivity.java:95)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle, android.os.PersistableBundle) (Activity.java:7009)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7000)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1214)
06-29 19:01:54.074  6286  6286 I zygote64:   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2731)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2856)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1589)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:106)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.os.Looper.loop() (Looper.java:164)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6494)
06-29 19:01:54.074  6286  6286 I zygote64:   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
06-29 19:01:54.074  6286  6286 I zygote64:   at void com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run() (RuntimeInit.java:438)
06-29 19:01:54.074  6286  6286 I zygote64:   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:807)
06-29 19:01:54.074  6286  6286 I zygote64: Caused by: java.lang.ClassNotFoundException: Didn't find class "android.view.View$OnUnhandledKeyEventListener" on path: DexPathList[[zip file "/data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/base.apk"],nativeLibraryDirectories=[/data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/lib/arm64, /data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/base.apk!/lib/arm64-v8a, /system/lib64, /vendor/lib64]]
06-29 19:01:54.074  6286  6286 I zygote64:   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:125)
06-29 19:01:54.074  6286  6286 I zygote64:   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
06-29 19:01:54.074  6286  6286 I zygote64:   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.core.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, androidx.core.view.OnApplyWindowInsetsListener) (ViewCompat.java:2421)
06-29 19:01:54.074  6286  6286 I zygote64:   at android.view.ViewGroup androidx.appcompat.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:779)
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:659)
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:552)
06-29 19:01:54.074  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:161)
06-29 19:01:54.074  6286  6286 I zygote64:   at void com.example.edgesum.page.main.MainActivity.onCreate(android.os.Bundle) (MainActivity.java:95)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle, android.os.PersistableBundle) (Activity.java:7009)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7000)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1214)
06-29 19:01:54.074  6286  6286 I zygote64:   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2731)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2856)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
06-29 19:01:54.074  6286  6286 I zygote64:   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1589)
06-29 19:01:54.075  6286  6286 I zygote64:   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:106)
06-29 19:01:54.075  6286  6286 I zygote64:   at void android.os.Looper.loop() (Looper.java:164)
06-29 19:01:54.075  6286  6286 I zygote64:   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6494)
06-29 19:01:54.075  6286  6286 I zygote64:   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
06-29 19:01:54.075  6286  6286 I zygote64:   at void com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run() (RuntimeInit.java:438)
06-29 19:01:54.075  6286  6286 I zygote64:   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:807)
06-29 19:01:54.075  6286  6286 I zygote64: 
06-29 19:01:54.075  6286  6286 I zygote64: Rejecting re-init on previously-failed class java.lang.Class<androidx.core.view.ViewCompat$2>: java.lang.NoClassDefFoundError: Failed resolution of: Landroid/view/View$OnUnhandledKeyEventListener;
06-29 19:01:54.075  6286  6286 I zygote64:   at void androidx.core.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, androidx.core.view.OnApplyWindowInsetsListener) (ViewCompat.java:2421)
06-29 19:01:54.075  6286  6286 I zygote64:   at android.view.ViewGroup androidx.appcompat.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:779)
06-29 19:01:54.075  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:659)
06-29 19:01:54.075  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:552)
06-29 19:01:54.075  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:161)
06-29 19:01:54.075  6286  6286 I zygote64:   at void com.example.edgesum.page.main.MainActivity.onCreate(android.os.Bundle) (MainActivity.java:95)
06-29 19:01:54.075  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle, android.os.PersistableBundle) (Activity.java:7009)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7000)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1214)
06-29 19:01:54.076  6286  6286 I zygote64:   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2731)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2856)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1589)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:106)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.os.Looper.loop() (Looper.java:164)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6494)
06-29 19:01:54.076  6286  6286 I zygote64:   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
06-29 19:01:54.076  6286  6286 I zygote64:   at void com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run() (RuntimeInit.java:438)
06-29 19:01:54.076  6286  6286 I zygote64:   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:807)
06-29 19:01:54.076  6286  6286 I zygote64: Caused by: java.lang.ClassNotFoundException: Didn't find class "android.view.View$OnUnhandledKeyEventListener" on path: DexPathList[[zip file "/data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/base.apk"],nativeLibraryDirectories=[/data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/lib/arm64, /data/app/com.example.edgesum-xo3L3oHCK05qKs3PdMmOEQ==/base.apk!/lib/arm64-v8a, /system/lib64, /vendor/lib64]]
06-29 19:01:54.076  6286  6286 I zygote64:   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:125)
06-29 19:01:54.076  6286  6286 I zygote64:   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
06-29 19:01:54.076  6286  6286 I zygote64:   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
06-29 19:01:54.076  6286  6286 I zygote64:   at void androidx.core.view.ViewCompat.setOnApplyWindowInsetsListener(android.view.View, androidx.core.view.OnApplyWindowInsetsListener) (ViewCompat.java:2421)
06-29 19:01:54.076  6286  6286 I zygote64:   at android.view.ViewGroup androidx.appcompat.app.AppCompatDelegateImpl.createSubDecor() (AppCompatDelegateImpl.java:779)
06-29 19:01:54.076  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.ensureSubDecor() (AppCompatDelegateImpl.java:659)
06-29 19:01:54.076  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatDelegateImpl.setContentView(int) (AppCompatDelegateImpl.java:552)
06-29 19:01:54.076  6286  6286 I zygote64:   at void androidx.appcompat.app.AppCompatActivity.setContentView(int) (AppCompatActivity.java:161)
06-29 19:01:54.076  6286  6286 I zygote64:   at void com.example.edgesum.page.main.MainActivity.onCreate(android.os.Bundle) (MainActivity.java:95)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle, android.os.PersistableBundle) (Activity.java:7009)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.Activity.performCreate(android.os.Bundle) (Activity.java:7000)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.Instrumentation.callActivityOnCreate(android.app.Activity, android.os.Bundle) (Instrumentation.java:1214)
06-29 19:01:54.076  6286  6286 I zygote64:   at android.app.Activity android.app.ActivityThread.performLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent) (ActivityThread.java:2731)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread.handleLaunchActivity(android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:2856)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread.-wrap11(android.app.ActivityThread, android.app.ActivityThread$ActivityClientRecord, android.content.Intent, java.lang.String) (ActivityThread.java:-1)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread$H.handleMessage(android.os.Message) (ActivityThread.java:1589)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.os.Handler.dispatchMessage(android.os.Message) (Handler.java:106)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.os.Looper.loop() (Looper.java:164)
06-29 19:01:54.076  6286  6286 I zygote64:   at void android.app.ActivityThread.main(java.lang.String[]) (ActivityThread.java:6494)
06-29 19:01:54.076  6286  6286 I zygote64:   at java.lang.Object java.lang.reflect.Method.invoke(java.lang.Object, java.lang.Object[]) (Method.java:-2)
06-29 19:01:54.076  6286  6286 I zygote64:   at void com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run() (RuntimeInit.java:438)
06-29 19:01:54.076  6286  6286 I zygote64:   at void com.android.internal.os.ZygoteInit.main(java.lang.String[]) (ZygoteInit.java:807)
06-29 19:01:54.076  6286  6286 I zygote64: 
06-29 19:01:54.410  6286  6286 V Repo    : /storage/emulated/0/Movies/raw
06-29 19:01:54.411  6286  6286 V Repo    : /storage/emulated/0/Movies/summarised
06-29 19:01:54.431  6286  6286 V FileManager: External storage is readable
06-29 19:01:54.432  6286  6286 V FileManager: Directory already exists: /storage/emulated/0/Movies/raw
06-29 19:01:54.438  6286  6286 V FileManager: External storage is readable
06-29 19:01:54.439  6286  6286 V FileManager: Directory already exists: /storage/emulated/0/Movies/summarised
06-29 19:01:54.443  6286  6286 V FileManager: External storage is readable
06-29 19:01:54.445  6286  6286 V FileManager: Directory already exists: /storage/emulated/0/Download/nearby
06-29 19:01:54.450  6286  6286 V FileManager: External storage is readable
06-29 19:01:54.451  6286  6286 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment
06-29 19:01:54.456  6286  6286 V FileManager: External storage is readable
06-29 19:01:54.457  6286  6286 V FileManager: Directory already exists: /storage/emulated/0/Movies/segment-sum
06-29 19:01:54.696  6286  6286 V VideoManager: getAllVideoFromExternalStorageFolder
06-29 19:01:54.702  6286  6286 D VideoManager: /storage/emulated/0/Movies/summarised
06-29 19:01:54.720  6286  6286 D VideoManager: 0 videos return
06-29 19:01:54.780  6286  6286 V VideoManager: getAllVideoFromExternalStorageFolder
06-29 19:01:54.787  6286  6286 D VideoManager: /storage/emulated/0/Movies/raw
06-29 19:01:54.799  6286  6286 D VideoManager: 0 videos return
06-29 19:01:54.879  6286  6313 D OpenGLRenderer: HWUI GL Pipeline
06-29 19:01:54.895  6286  6286 I TransferService: Starting Transfer Service to listen for network connectivity changes.
06-29 19:01:54.895  6286  6286 I TransferService: Registering the network receiver
06-29 19:01:54.902  6286  6286 E TransferService: No notification is passed in the intent. Unable to transition to foreground.
06-29 19:01:54.952  6286  6299 D MainActivity: Scanned /storage/emulated/0/Movies/summarised
06-29 19:01:54.952  6286  6299 D MainActivity:   -> uri=content://media/external/file/5859
06-29 19:01:54.985  6286  6298 D MainActivity: Scanned /storage/emulated/0/Movies/raw
06-29 19:01:54.985  6286  6298 D MainActivity:   -> uri=content://media/external/file/5860
06-29 19:01:55.096  6286  6313 I Adreno  : QUALCOMM build                   : 8e59954, I0be83d0d26
06-29 19:01:55.096  6286  6313 I Adreno  : Build Date                       : 09/22/17
06-29 19:01:55.096  6286  6313 I Adreno  : OpenGL ES Shader Compiler Version: EV031.21.02.00
06-29 19:01:55.096  6286  6313 I Adreno  : Local Branch                     : O17A
06-29 19:01:55.096  6286  6313 I Adreno  : Remote Branch                    : 
06-29 19:01:55.096  6286  6313 I Adreno  : Remote Branch                    : 
06-29 19:01:55.096  6286  6313 I Adreno  : Reconstruct Branch               : 
06-29 19:01:55.097  6286  6313 D vndksupport: Loading /vendor/lib64/hw/gralloc.msm8992.so from current namespace instead of sphal namespace.
06-29 19:01:55.106  6286  6313 I Adreno  : PFP: 0x00000000, ME: 0x00000000
06-29 19:01:55.112  6286  6313 I zygote64: android::hardware::configstore::V1_0::ISurfaceFlingerConfigs::hasWideColorDisplay retrieved: 0
06-29 19:01:55.118  6286  6313 I OpenGLRenderer: Initialized EGL, version 1.4
06-29 19:01:55.118  6286  6313 D OpenGLRenderer: Swap behavior 2
06-29 19:01:55.131  6286  6291 I zygote64: Do partial code cache collection, code=23KB, data=29KB
06-29 19:01:55.132  6286  6291 I zygote64: After code cache collection, code=23KB, data=29KB
06-29 19:01:55.132  6286  6291 I zygote64: Increasing code cache capacity to 128KB
06-29 19:01:55.143  6286  6286 I TransferNetworkLossHand: Network connectivity changed detected.
06-29 19:01:55.145  6286  6286 I TransferNetworkLossHand: Network connected: true
06-29 19:01:55.179  6286  6313 D vndksupport: Loading /vendor/lib64/hw/android.hardware.graphics.mapper@2.0-impl.so from current namespace instead of sphal namespace.
06-29 19:01:55.180  6286  6313 D vndksupport: Loading /vendor/lib64/hw/gralloc.msm8992.so from current namespace instead of sphal namespace.
06-29 19:04:34.409  6286  6286 V MainActivity: Connect button clicked
06-29 19:04:36.179  6286  6286 V ConnectionFragment: Advertisement switch checked
06-29 19:04:38.639  6286  6286 D NearbyFragment: Started advertising
06-29 19:05:05.963  6286  6286 D NearbyFragment: Initiated connection with null: Galaxy S8 [2802]
06-29 19:05:06.100  6286  6291 I zygote64: Do partial code cache collection, code=51KB, data=57KB
06-29 19:05:06.100  6286  6291 I zygote64: After code cache collection, code=51KB, data=57KB
06-29 19:05:06.100  6286  6291 I zygote64: Increasing code cache capacity to 256KB
06-29 19:05:06.101  6286  6291 I zygote64: Compiler allocated 4MB to compile void android.view.View.<init>(android.content.Context, android.util.AttributeSet, int, int)
06-29 19:05:06.335  6286  6291 I zygote64: Do full code cache collection, code=120KB, data=100KB
06-29 19:05:06.336  6286  6291 I zygote64: After code cache collection, code=115KB, data=61KB
